trial_number,value,state,timestamp_utc,elapsed_hms,param_architecture,param_sequence_length,param_hidden_size,param_num_layers,param_dropout,param_bidirectional,param_dense_size,param_learning_rate,param_weight_decay,param_batch_size,param_loss,user_best_epoch,user_epochs_ran,user_sequence_length,user_architecture
0,121.14149236307392,TrialState.COMPLETE,2026-05-05T10:20:39Z,00:00:18,gru_attention,60,64,2,0.15358856014164804,False,128,0.0007488864814957587,0.0004138475706998502,128,mse,4,16,60,gru_attention
1,159.2505998932626,TrialState.COMPLETE,2026-05-05T10:20:40Z,00:00:20,gru,60,64,2,0.22154965998850368,True,64,4.702211990305985e-05,1.1347944540399084e-07,128,mse,2,14,60,gru
2,113.54942259238328,TrialState.COMPLETE,2026-05-05T10:21:31Z,00:01:11,lstm,120,256,2,0.25562773682070566,True,256,2.8443746272804117e-05,5.085704325151339e-07,32,mse,4,16,120,lstm
3,135.19099198273545,TrialState.COMPLETE,2026-05-05T10:21:36Z,00:01:16,lstm_attention,120,128,1,0.33755201058646633,False,128,1.43784870900261e-05,1.0072653093145564e-05,32,mse,2,14,120,lstm_attention
4,104.96155300441217,TrialState.COMPLETE,2026-05-05T10:22:26Z,00:02:06,gru_attention,60,256,3,0.19885241797043546,True,128,0.003328848194934393,3.017818753798831e-05,32,mse,12,24,60,gru_attention
5,124.14289225910754,TrialState.COMPLETE,2026-05-05T10:22:41Z,00:02:21,gru,20,128,3,0.15325217347843867,True,64,2.7595172984634395e-05,0.00014979297356816087,128,mse,9,21,20,gru
6,116.01162868555397,TrialState.COMPLETE,2026-05-05T10:22:44Z,00:02:23,gru_attention,60,128,1,0.19618547954290966,False,128,0.002237669549111424,5.311608982796998e-06,128,huber,10,22,60,gru_attention
7,122.09763674662697,TrialState.COMPLETE,2026-05-05T10:23:29Z,00:03:08,lstm_attention,120,192,1,0.13656620648362444,False,64,1.1658050528346106e-05,0.0005967871654888023,32,mse,41,53,120,lstm_attention
8,123.27764063193406,TrialState.COMPLETE,2026-05-05T10:24:00Z,00:03:40,lstm,60,192,2,0.23555798097362918,False,64,1.595047541098175e-05,2.5164102119190293e-07,64,mse,20,32,60,lstm
9,118.8999838811732,TrialState.COMPLETE,2026-05-05T10:24:03Z,00:03:43,gru_attention,60,128,1,0.2203895499309274,True,256,0.00036485120060601874,9.534910700749529e-06,128,huber,12,24,60,gru_attention
10,101.79562608121822,TrialState.COMPLETE,2026-05-05T10:24:16Z,00:03:55,gru_attention,20,256,3,0.05481501072400702,True,128,0.004937824904932218,1.1915051913961521e-08,64,huber,11,23,20,gru_attention
11,96.77347368558148,TrialState.COMPLETE,2026-05-05T10:24:37Z,00:04:17,gru_attention,20,256,3,0.062249631831144375,True,128,0.004683208355834794,1.0960257455478767e-08,64,huber,27,39,20,gru_attention
12,113.09112057063442,TrialState.COMPLETE,2026-05-05T10:24:50Z,00:04:29,gru_attention,20,256,3,0.05218101147857807,True,128,0.004961805989952305,1.0725173482416735e-08,64,huber,11,23,20,gru_attention
13,98.66361541187175,TrialState.COMPLETE,2026-05-05T10:25:02Z,00:04:41,gru_attention,20,256,3,0.051143270970468745,True,128,0.0011933243823805835,1.1895806466958638e-08,64,huber,10,22,20,gru_attention
14,97.10397322402935,TrialState.COMPLETE,2026-05-05T10:25:10Z,00:04:49,gru_attention,20,256,3,0.09496255155417696,True,128,0.0012330769282413844,4.9435624852902726e-08,64,huber,3,15,20,gru_attention
15,118.09574742462,TrialState.COMPLETE,2026-05-05T10:25:19Z,00:04:58,gru_attention,20,256,3,0.11022677309677394,True,128,0.0001407017345329605,6.652927569192424e-08,64,huber,4,16,20,gru_attention
16,143.78282958922662,TrialState.COMPLETE,2026-05-05T10:25:26Z,00:05:06,gru,20,256,3,0.09575906171635556,True,256,0.0015166404578512388,6.785819843713844e-07,64,huber,3,15,20,gru
17,108.29948662436577,TrialState.COMPLETE,2026-05-05T10:25:32Z,00:05:12,lstm_attention,20,256,2,0.3999432730985558,True,128,0.0006372976613218795,4.12816837508048e-08,64,huber,2,14,20,lstm_attention
18,107.2343810624559,TrialState.COMPLETE,2026-05-05T10:25:35Z,00:05:15,lstm,20,64,3,0.1015508659106921,True,128,0.00016547996119080526,9.77949242621966e-07,64,huber,2,14,20,lstm
19,121.72638105945934,TrialState.COMPLETE,2026-05-05T10:25:43Z,00:05:23,gru_attention,20,192,3,0.08705926969046122,True,256,0.00033649322380773563,4.06163849738807e-08,64,huber,2,14,20,gru_attention
20,102.46091790758237,TrialState.COMPLETE,2026-05-05T10:25:49Z,00:05:28,gru_attention,20,256,2,0.28144542349413854,True,128,0.00217410905201136,1.6346706053011397e-06,64,huber,1,13,20,gru_attention
21,100.4059026185731,TrialState.COMPLETE,2026-05-05T10:26:05Z,00:05:44,gru_attention,20,256,3,0.07636291497645309,True,128,0.0009579097678615438,2.2224435979569004e-08,64,huber,17,29,20,gru_attention
22,100.10851098363696,TrialState.COMPLETE,2026-05-05T10:26:13Z,00:05:52,gru_attention,20,256,3,0.12670836257103563,True,128,0.001404761770878537,1.6194036641904396e-07,64,huber,3,15,20,gru_attention
23,99.74689832741674,TrialState.COMPLETE,2026-05-05T10:26:22Z,00:06:02,gru_attention,20,256,3,0.0562285701632153,True,128,0.0004803243123207912,2.1007945635731973e-08,64,huber,5,17,20,gru_attention
24,107.32568688990038,TrialState.COMPLETE,2026-05-05T10:26:35Z,00:06:15,gru_attention,20,256,3,0.18231114497746512,True,128,0.001217251591424593,8.577746034579285e-08,64,huber,13,25,20,gru_attention
25,105.1967599978395,TrialState.COMPLETE,2026-05-05T10:27:36Z,00:07:15,gru_attention,120,256,3,0.08474734956275717,True,128,0.002587687502326987,1.0445869799462835e-08,64,huber,18,30,120,gru_attention
26,112.46771691147126,TrialState.COMPLETE,2026-05-05T10:27:40Z,00:07:19,lstm,20,256,2,0.12489651826660272,False,128,0.00011180120097904436,3.31780667473025e-08,64,huber,2,14,20,lstm
27,102.86063269772657,TrialState.COMPLETE,2026-05-05T10:27:47Z,00:07:26,gru,20,192,3,0.16197316004297102,True,128,0.0002514596547049565,2.8193280335460287e-07,64,huber,1,13,20,gru
28,106.78994087684596,TrialState.COMPLETE,2026-05-05T10:27:55Z,00:07:34,lstm_attention,20,64,2,0.07336904807515429,True,64,0.0017432232324474809,5.5826256016756755e-08,32,huber,7,19,20,lstm_attention
29,119.61782768969991,TrialState.COMPLETE,2026-05-05T10:27:58Z,00:07:38,gru_attention,120,64,2,0.11270355982812591,False,256,0.0007801582917189775,1.8286010475667967e-08,64,huber,5,17,120,gru_attention
30,93.30485090059612,TrialState.COMPLETE,2026-05-05T10:28:05Z,00:07:44,gru_attention,20,256,3,0.1526071607254712,True,128,0.003553564623672066,1.8644121323461563e-07,128,huber,9,21,20,gru_attention
31,93.79630261829294,TrialState.COMPLETE,2026-05-05T10:28:12Z,00:07:51,gru_attention,20,256,3,0.15962255057358743,True,128,0.003358939145120658,1.4214226664293953e-07,128,huber,12,24,20,gru_attention
