trial_number,sequence_length,hidden_size,attention_heads,dropout,learning_rate,weight_decay,batch_size,grn_depth,status,validation_quantile_loss,epochs_completed,parameter_count,runtime_seconds
0,252,256,4,0.3052252460689865,0.00017772771041152074,1.6762981192750357e-05,32,2,completed,0.016811627838196175,22,1806115,69.871
1,120,64,4,0.28083348776695544,0.0002972784057660948,2.1793180993273632e-08,32,2,completed,0.021055141661429043,22,132835,24.571
2,120,256,2,0.14420918341513386,0.0021247571004275943,0.000911222169498789,64,1,completed,0.016131611760048306,24,1608227,27.937
3,252,256,4,0.3145500322157125,5.1479697837453336e-05,2.674667521089392e-07,32,2,completed,0.018487813007650955,27,1806115,82.037
4,20,256,2,0.17857122001038012,0.0006837836656625417,5.833027576636984e-07,32,2,completed,0.013871691500147184,23,1806115,28.412
5,252,192,8,0.24067009470197204,0.00026564451497366125,0.0004537094472991068,32,1,completed,0.017074102253624886,23,923811,57.353
6,120,128,8,0.12864496779729084,5.0331875927775506e-05,2.4868108895128967e-05,64,1,completed,0.04063408175373778,42,427811,26.071
7,60,192,2,0.19219423186510964,1.7539726856271324e-05,5.4609975236735616e-08,32,1,completed,0.025080309842120518,25,923811,32.351
8,120,256,4,0.2946111047789156,0.0005364319243505324,4.351998122469224e-08,128,2,completed,0.01668720930400822,17,1806115,16.522
9,20,64,4,0.23627957899031704,0.002463641040427148,0.0007622922189307014,32,1,completed,0.015486404878284895,16,120227,16.725
10,20,128,2,0.05404712784108388,0.0009765170825509998,9.29906834036559e-07,128,3,completed,0.014788628762794865,29,527395,11.709
11,20,128,2,0.060123091979956106,0.0009009269985551731,9.368408922657335e-07,128,3,completed,0.01809500592450301,25,527395,9.54
12,20,128,2,0.39021376016330594,0.0010255844057182701,4.3631349234911295e-06,128,3,completed,0.015487827981511751,27,527395,10.119
13,20,128,2,0.05165344542533598,0.0008149094573490916,4.1257808786699847e-07,128,3,completed,0.014090124931600358,31,527395,11.489
14,20,256,2,0.11698817826055614,7.666580095345052e-05,2.0809303039807289e-07,128,3,completed,0.025015647005703714,30,2004003,12.799
15,60,128,2,0.182540131905524,0.0004949468229586672,4.344709912873668e-06,64,2,completed,0.015444393324501374,25,477603,15.958
16,20,64,2,0.0937148543081288,0.0014897549178001916,2.418180935619104e-07,128,3,completed,0.014686614585419496,32,145443,12.297
17,20,192,8,0.173775226053428,0.0005008168320061893,1.027098485624344e-08,32,3,completed,0.014048840822369763,23,1146915,30.236
18,20,192,8,0.1732669077389553,0.0001142687689840417,2.567098556398242e-05,32,2,completed,0.019339779081443947,22,1035363,28.802
19,60,192,8,0.2202104367923845,0.00041583873913020704,1.490911432803104e-08,32,3,completed,0.01550696368301005,30,1146915,45.39
20,20,192,8,0.15795591297709555,1.0052702862106408e-05,0.00015320424267501164,32,2,completed,0.0522529948502779,61,1035363,73.814
21,20,256,8,0.10020694576246177,0.0007670678666459392,7.251252269439614e-07,32,3,completed,0.015146816346907255,28,2004003,38.96
