iter	Passed	Remaining
0	11	10995
1	20	10155
2	30	9974
3	40	9960
4	49	9899
5	59	9838
6	69	9820
7	78	9742
8	88	9729
9	97	9686
10	107	9633
11	116	9594
12	125	9551
13	135	9537
14	145	9541
15	154	9516
16	164	9492
17	174	9497
18	183	9479
19	193	9477
20	203	9485
21	212	9467
22	222	9464
23	232	9457
24	241	9437
25	251	9418
26	261	9407
27	270	9390
28	279	9373
29	289	9367
30	299	9367
31	309	9351
32	318	9336
33	328	9324
34	337	9305
35	346	9285
36	356	9277
37	365	9264
38	375	9249
39	385	9252
40	394	9238
41	404	9223
42	414	9220
43	423	9210
44	433	9197
45	442	9181
46	452	9176
47	462	9165
48	471	9153
49	480	9136
50	490	9126
51	499	9114
52	509	9100
53	518	9089
54	528	9082
55	538	9071
56	547	9058
57	557	9048
58	566	9037
59	576	9029
60	585	9019
61	596	9017
62	605	9009
63	615	9000
64	625	8993
65	634	8982
66	644	8972
67	653	8963
68	663	8951
69	673	8946
70	682	8936
71	692	8929
72	702	8918
73	711	8907
74	721	8894
75	730	8882
76	739	8868
77	749	8855
78	758	8843
79	768	8832
80	777	8820
81	786	8808
82	796	8796
83	805	8782
84	814	8769
85	823	8756
86	833	8744
87	842	8732
88	851	8717
89	860	8703
90	869	8690
91	879	8675
92	888	8661
93	897	8648
94	906	8634
95	915	8623
96	924	8609
97	933	8595
98	943	8585
99	952	8575
100	962	8564
101	971	8556
102	981	8545
103	991	8538
104	1000	8527
105	1009	8516
106	1019	8504
107	1028	8492
108	1038	8486
109	1047	8474
110	1057	8470
111	1067	8464
112	1076	8452
113	1086	8444
114	1095	8432
115	1104	8419
116	1113	8407
117	1123	8395
118	1132	8382
119	1141	8370
120	1150	8358
121	1159	8345
122	1168	8333
123	1177	8321
124	1187	8309
125	1196	8298
126	1205	8286
127	1214	8273
128	1223	8263
129	1232	8251
130	1242	8239
131	1251	8227
132	1260	8215
133	1269	8205
134	1279	8196
135	1288	8185
136	1297	8175
137	1306	8163
138	1316	8156
139	1326	8148
140	1336	8141
141	1345	8128
142	1354	8118
143	1364	8108
144	1373	8096
145	1382	8088
146	1392	8080
147	1402	8071
148	1411	8061
149	1420	8051
150	1430	8041
151	1439	8031
152	1449	8022
153	1458	8013
154	1467	8001
155	1477	7992
156	1483	7966
157	1492	7955
158	1502	7946
159	1511	7937
160	1521	7926
161	1530	7914
162	1539	7903
163	1548	7892
164	1557	7881
165	1565	7866
166	1575	7856
167	1584	7847
168	1594	7840
169	1603	7830
170	1613	7820
171	1622	7812
172	1631	7800
173	1641	7791
174	1650	7783
175	1659	7768
176	1668	7758
177	1677	7748
178	1687	7738
179	1696	7728
180	1705	7715
181	1714	7705
182	1724	7696
183	1733	7686
184	1742	7676
185	1751	7666
186	1760	7655
187	1767	7634
188	1776	7625
189	1786	7615
190	1795	7605
191	1805	7596
192	1814	7587
193	1823	7577
194	1833	7568
195	1842	7559
196	1849	7537
197	1858	7526
198	1868	7519
199	1877	7509
200	1886	7499
201	1896	7490
202	1905	7481
203	1914	7472
204	1924	7462
205	1933	7453
206	1942	7443
207	1952	7434
208	1961	7424
209	1970	7414
210	1980	7405
211	1989	7395
212	1996	7375
213	2005	7365
214	2014	7356
215	2024	7347
216	2030	7324
217	2039	7314
218	2048	7304
219	2057	7296
220	2067	7286
221	2076	7278
222	2087	7272
223	2096	7264
224	2106	7256
225	2116	7248
226	2126	7241
227	2136	7232
228	2145	7223
229	2155	7214
230	2164	7205
231	2173	7196
232	2183	7186
233	2188	7163
234	2194	7142
235	2204	7135
236	2213	7125
237	2222	7116
238	2232	7108
239	2241	7099
240	2251	7090
241	2260	7081
242	2270	7073
243	2279	7064
244	2286	7046
245	2296	7037
246	2305	7028
247	2315	7021
248	2325	7013
249	2335	7005
250	2344	6996
251	2354	6987
252	2363	6979
253	2372	6969
254	2382	6960
255	2391	6951
256	2401	6942
257	2410	6933
258	2419	6923
259	2429	6914
260	2434	6894
261	2444	6885
262	2453	6874
263	2462	6866
264	2467	6844
265	2477	6835
266	2485	6823
267	2495	6815
268	2503	6802
269	2512	6793
270	2522	6784
271	2526	6763
272	2536	6754
273	2542	6737
274	2552	6728
275	2561	6719
276	2570	6710
277	2580	6701
278	2585	6680
279	2594	6671
280	2604	6662
281	2613	6653
282	2622	6644
283	2628	6625
284	2637	6617
285	2647	6608
286	2656	6598
287	2665	6589
288	2674	6580
289	2684	6571
290	2693	6562
291	2701	6550
292	2707	6532
293	2716	6522
294	2721	6504
295	2730	6494
296	2739	6485
297	2748	6473
298	2757	6464
299	2766	6455
300	2772	6437
301	2777	6418
302	2786	6409
303	2795	6401
304	2805	6391
305	2814	6382
306	2824	6374
307	2829	6357
308	2838	6348
309	2847	6337
310	2852	6320
311	2862	6312
312	2872	6304
313	2881	6296
314	2891	6287
315	2895	6267
316	2900	6249
317	2909	6240
318	2916	6226
319	2925	6217
320	2935	6208
321	2940	6191
322	2946	6174
323	2955	6165
324	2964	6157
325	2974	6149
326	2978	6130
327	2988	6121
328	2993	6105
329	3002	6096
330	3007	6078
331	3016	6070
332	3026	6061
333	3035	6053
334	3042	6039
335	3051	6030
336	3060	6021
337	3069	6012
338	3079	6003
339	3087	5993
340	3094	5979
341	3104	5972
342	3113	5963
343	3119	5948
344	3127	5937
345	3136	5928
346	3145	5919
347	3155	5912
348	3165	5904
349	3172	5890
350	3177	5875
351	3187	5867
352	3192	5850
353	3201	5842
