date,split,horizon,gold_price,actual_target,predicted_log_return,prediction,naive_prediction,error
2006-01-02,train,1,568.25,564.25,-0.00076629804,567.8147322684526,568.25,3.5647322684526443
2006-01-03,train,1,564.25,564.25,-0.00076629804,563.8177961856127,564.25,-0.43220381438732147
2006-01-04,train,1,564.25,564.25,-0.00076629804,563.8177961856127,564.25,-0.43220381438732147
2006-01-05,train,1,564.25,625.0,-0.00076629804,563.8177961856127,564.25,-61.18220381438732
2006-01-06,train,1,625.0,621.05,-0.00076629804,624.5212629437447,625.0,3.471262943744705
2006-01-09,train,1,621.05,621.05,-0.00076629804,620.5742885619402,621.05,-0.47571143805976135
2006-01-10,train,1,621.05,614.1,-0.00076629804,620.5742885619402,621.05,6.47428856194017
2006-01-11,train,1,614.1,648.75,-0.00076629804,613.6296121180058,614.1,-35.12038788199425
2006-01-12,train,1,648.75,648.75,-0.00076629804,648.253070935607,648.75,-0.4969290643930435
2006-01-13,train,1,648.75,648.75,-0.00076629804,648.253070935607,648.75,-0.4969290643930435
2006-01-16,train,1,648.75,648.75,-0.00076629804,648.253070935607,648.75,-0.4969290643930435
2006-01-17,train,1,648.75,648.75,-0.00076629804,648.253070935607,648.75,-0.4969290643930435
2006-01-18,train,1,648.75,648.75,-0.00076629804,648.253070935607,648.75,-0.4969290643930435
2006-01-19,train,1,648.75,648.75,-0.00076629804,648.253070935607,648.75,-0.4969290643930435
2006-01-20,train,1,648.75,648.75,-0.00076629804,648.253070935607,648.75,-0.4969290643930435
2006-01-23,train,1,648.75,648.75,-0.00076629804,648.253070935607,648.75,-0.4969290643930435
2006-01-24,train,1,648.75,648.75,-0.00076629804,648.253070935607,648.75,-0.4969290643930435
2006-01-25,train,1,648.75,648.75,-0.00076629804,648.253070935607,648.75,-0.4969290643930435
2006-01-26,train,1,648.75,648.75,-0.00076629804,648.253070935607,648.75,-0.4969290643930435
2006-01-27,train,1,648.75,648.75,-0.00076629804,648.253070935607,648.75,-0.4969290643930435
2006-01-30,train,1,648.75,648.75,-0.02560519,632.3494847863913,648.75,-16.40051521360874
2006-01-31,train,1,648.75,648.75,-0.03695038,625.2159561216831,648.75,-23.53404387831688
2006-02-01,train,1,648.75,572.15,-0.044462323,620.5369113385677,648.75,48.38691133856776
2006-02-02,train,1,572.15,563.75,-0.00054597575,571.8376865804195,572.15,8.087686580419472
2006-02-03,train,1,563.75,632.25,0.032130983,582.1579797565937,563.75,-50.092020243406296
