feature,horizon,mean_abs_price_change_when_occluded,sample_rows
jpy_usd,30,86.87837219238281,400
jpy_usd,10,74.01486206054688,400
jpy_usd,5,63.77030944824219,400
jpy_usd,20,63.269920349121094,400
gold_ma_ratio_20,5,53.90085983276367,400
gold_ma_ratio_20,30,52.10888671875,400
gold_ma_ratio_20,10,50.658084869384766,400
policy_unc,30,49.80891418457031,400
gold_ma_ratio_20,20,37.58155822753906,400
gold_return_1,20,36.649391174316406,400
usd_index,30,34.55990982055664,400
gold_drawdown_252,30,32.26335525512695,400
policy_unc,10,31.899389266967773,400
gold_return_1,5,29.593055725097656,400
gold_lag_20,5,29.40152359008789,400
gold_drawdown_252,20,28.973548889160156,400
gold_ma_5,5,28.719158172607422,400
gold_drawdown_252,10,27.683887481689453,400
gold_ma_60,30,27.175600051879883,400
gold_return_1,30,26.7830867767334,400
gold_ma_ratio_60,30,25.07697296142578,400
gold_return_20,5,24.496809005737305,400
gold_ma_60,5,24.450326919555664,400
gold_return_1,10,24.39727020263672,400
usd_index,10,23.690149307250977,400
jpy_usd,1,23.665117263793945,400
gold_ma_60,10,23.23892593383789,400
gold_ma_ratio_60,20,23.169179916381836,400
gold_ma_ratio_60,10,23.065292358398438,400
gold_drawdown_252,5,22.856216430664062,400
gold_ma_ratio_20,1,22.2867431640625,400
beta_day_of_year_sin,30,22.254899978637695,400
beta_day_of_year_sin,20,22.151039123535156,400
beta_year,30,21.74042510986328,400
usd_index,20,21.69293975830078,400
gold_ma_5,10,21.631458282470703,400
gold_ma_ratio_60,5,21.133705139160156,400
gold_lag_1,5,21.037168502807617,400
gold_lag_20,20,20.972366333007812,400
gold_price,20,20.408824920654297,400
gold_return_20,10,19.446802139282227,400
eur_usd,30,19.228893280029297,400
gold_lag_20,10,18.703210830688477,400
gold_return_20,30,18.561479568481445,400
policy_unc,20,17.75568389892578,400
gold_ma_5,30,17.73871421813965,400
beta_quarter,30,17.560062408447266,400
gold_ma_20,5,17.536693572998047,400
gold_return_5,5,17.194866180419922,400
beta_year,10,16.700326919555664,400
beta_quarter,20,16.67576789855957,400
gpr_index,10,16.669307708740234,400
