trial_number,sequence_length,hidden_size,attention_heads,dropout,learning_rate,weight_decay,batch_size,grn_depth,status,validation_quantile_loss,epochs_completed,parameter_count,runtime_seconds
0,20,256,8,0.22846064646980835,0.00021681201036436056,7.612818912878127e-05,64,1,completed,0.015534889117321548,44,1608227,29.57
1,252,64,4,0.17658675233394444,0.00012111667041615679,3.898387730574747e-08,128,1,completed,0.04198689613905218,15,120227,8.767
2,60,128,2,0.10839349451874386,0.0016528144975847413,0.00025149086367774813,32,3,completed,0.016436216421425343,20,527395,24.319
3,120,256,4,0.24838215666644115,2.156950114264377e-05,4.181381617007744e-07,32,1,completed,0.03140904802377477,36,1608227,59.677
4,60,64,8,0.18124708678677476,0.0003612691869331334,1.3167857319703332e-07,128,2,completed,0.020075959153473377,22,132835,7.291
5,60,64,8,0.23106644319914882,0.002368894186276393,6.073823630453347e-05,64,3,completed,0.015222976422485183,21,145443,12.851
6,20,128,8,0.24674068089503548,5.50996905180969e-05,3.112105988333041e-07,32,1,completed,0.017801046907675987,44,427811,40.118
7,20,192,8,0.18683959230472424,0.0012035969669137356,2.4381093924437787e-08,64,1,completed,0.013816105393583284,29,923811,16.175
8,120,64,4,0.23750666534228498,0.0007173585757743187,2.809860052998142e-08,32,1,completed,0.01663267615279465,14,120227,13.245
9,120,256,8,0.1276681496170297,1.543164638583731e-05,1.6077745837365713e-05,64,1,completed,0.1190189674277516,27,1608227,30.015
10,20,192,2,0.36312405271689596,0.0008877093637143715,1.8548335269086244e-06,64,2,completed,0.014806271530687809,23,1035363,14.164
11,20,192,2,0.38006288795543375,0.0008513472240326906,2.7586001792723245e-06,64,2,completed,0.017543791245449993,19,1035363,12.149
12,20,192,2,0.34634857656712514,0.000760486551889948,1.7791215499478372e-06,64,2,completed,0.014756114550811402,21,1035363,13.563
13,20,192,2,0.31570458334794305,0.0028754643512645408,0.000897695051800799,64,2,completed,0.01612818887566819,32,1035363,20.457
14,252,192,2,0.3140474316849768,0.00042306398368938814,1.3627176634119706e-05,64,2,completed,0.03484863579711493,13,1035363,26.014
15,20,192,8,0.16742269575318902,0.0013590914543367644,1.551961235690043e-08,64,3,completed,0.014361734940286945,27,1146915,17.069
16,20,192,8,0.16073104270468005,9.939259639613911e-05,1.0178387063025865e-08,128,3,completed,0.020834772640632257,18,1146915,6.949
17,20,192,8,0.05677409953819343,0.0013745842739260807,1.1674155896457846e-08,64,3,completed,0.015931433833697262,24,1146915,15.267
18,252,192,8,0.09472599612087405,0.0004073681593990382,8.83523494739559e-08,64,3,completed,0.015089340562767842,46,1146915,106.586
