date,official_forecast,actual_gold_price,forecast_lower,forecast_upper,split,source_model_label,selected_model_key,selected_model_name
2019-01-01,1279.4931607611477,1284.7,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-01-02,1279.7351819758487,1284.7,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-01-03,1279.9659537039263,1284.7,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-01-04,1280.1859988373496,1297.1,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-01-07,1290.787871813087,1424.0,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-01-08,1396.8779111920612,1461.9,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-01-09,1424.228602744608,1461.9,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-01-10,1424.285382641601,1511.4,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-01-11,1467.5181794833786,1511.4,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-01-14,1467.3450750299876,1294.8,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-01-15,1287.8670601724577,1295.4,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-01-16,1298.3748010792583,1295.0,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-01-17,1297.874478795004,1292.2,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-01-18,1295.4121568766843,1292.2,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-01-21,1295.3880194063531,1292.2,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-01-22,1295.2398357782783,1286.0,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-01-23,1289.9025120088775,1283.9,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-01-24,1288.2383307555908,1303.4,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-01-25,1304.472901006084,1303.4,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-01-28,1303.551324637596,1310.8,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
2019-01-29,1309.7460016045493,1328.6,,,validation,"Direct ARIMA(2, 1, 1) — One-Step Rolling Validation",arima,ARIMA
