date,split,actual,yhat,yhat_lower,yhat_upper,forecast_stage
1968-01-04,train,37.7,,,,actual_training_history
1968-01-05,train,39.2,,,,actual_training_history
1968-01-08,train,38.9,,,,actual_training_history
1968-01-09,train,38.9,,,,actual_training_history
1968-01-10,train,39.45,,,,actual_training_history
1968-01-11,train,39.17,,,,actual_training_history
1968-01-12,train,39.17,,,,actual_training_history
1968-01-15,train,39.17,,,,actual_training_history
1968-01-16,train,39.17,,,,actual_training_history
1968-01-17,train,39.17,,,,actual_training_history
1968-01-18,train,39.17,,,,actual_training_history
1968-01-19,train,39.17,,,,actual_training_history
1968-01-22,train,39.17,,,,actual_training_history
1968-01-23,train,39.17,,,,actual_training_history
1968-01-24,train,39.17,,,,actual_training_history
1968-01-25,train,39.17,,,,actual_training_history
1968-01-26,train,39.17,,,,actual_training_history
1968-01-29,train,39.17,,,,actual_training_history
1968-01-30,train,39.17,,,,actual_training_history
1968-01-31,train,39.17,,,,actual_training_history
1968-02-01,train,39.17,,,,actual_training_history
1968-02-02,train,39.17,,,,actual_training_history
1968-02-05,train,39.45,,,,actual_training_history
1968-02-06,train,39.45,,,,actual_training_history
1968-02-07,train,40.9,,,,actual_training_history
1968-02-08,train,38.85,,,,actual_training_history
1968-02-09,train,38.85,,,,actual_training_history
1968-02-12,train,40.15,,,,actual_training_history
1968-02-13,train,40.15,,,,actual_training_history
1968-02-14,train,40.15,,,,actual_training_history
1968-02-15,train,40.15,,,,actual_training_history
1968-02-16,train,40.15,,,,actual_training_history
1968-02-19,train,40.15,,,,actual_training_history
1968-02-20,train,40.15,,,,actual_training_history
1968-02-21,train,40.15,,,,actual_training_history
1968-02-22,train,40.15,,,,actual_training_history
1968-02-23,train,40.15,,,,actual_training_history
1968-02-26,train,40.15,,,,actual_training_history
1968-02-27,train,40.15,,,,actual_training_history
1968-02-28,train,40.15,,,,actual_training_history
1968-02-29,train,40.15,,,,actual_training_history
1968-03-01,train,40.15,,,,actual_training_history
1968-03-04,train,37.6,,,,actual_training_history
1968-03-05,train,39.1,,,,actual_training_history
1968-03-06,train,39.1,,,,actual_training_history
1968-03-07,train,41.05,,,,actual_training_history
1968-03-08,train,41.05,,,,actual_training_history
1968-03-11,train,39.17,,,,actual_training_history
1968-03-12,train,40.27,,,,actual_training_history
1968-03-13,train,40.27,,,,actual_training_history
1968-03-14,train,40.27,,,,actual_training_history
1968-03-15,train,40.27,,,,actual_training_history
1968-03-18,train,40.27,,,,actual_training_history
1968-03-19,train,40.27,,,,actual_training_history
1968-03-20,train,40.27,,,,actual_training_history
1968-03-21,train,40.27,,,,actual_training_history
1968-03-22,train,40.27,,,,actual_training_history
1968-03-25,train,40.27,,,,actual_training_history
1968-03-26,train,40.27,,,,actual_training_history
1968-03-27,train,40.27,,,,actual_training_history
1968-03-28,train,40.27,,,,actual_training_history
1968-03-29,train,40.27,,,,actual_training_history
1968-04-01,train,40.27,,,,actual_training_history
1968-04-02,train,40.27,,,,actual_training_history
1968-04-03,train,40.27,,,,actual_training_history
1968-04-04,train,36.95,,,,actual_training_history
1968-04-05,train,36.95,,,,actual_training_history
1968-04-08,train,41.15,,,,actual_training_history
1968-04-09,train,39.9,,,,actual_training_history
1968-04-10,train,39.05,,,,actual_training_history
1968-04-11,train,39.2,,,,actual_training_history
1968-04-12,train,40.5,,,,actual_training_history
1968-04-15,train,40.5,,,,actual_training_history
1968-04-16,train,40.5,,,,actual_training_history
1968-04-17,train,40.5,,,,actual_training_history
1968-04-18,train,40.5,,,,actual_training_history
1968-04-19,train,40.5,,,,actual_training_history
1968-04-22,train,40.5,,,,actual_training_history
1968-04-23,train,40.5,,,,actual_training_history
1968-04-24,train,40.5,,,,actual_training_history
1968-04-25,train,40.5,,,,actual_training_history
1968-04-26,train,40.5,,,,actual_training_history
1968-04-29,train,40.5,,,,actual_training_history
1968-04-30,train,40.5,,,,actual_training_history
1968-05-01,train,40.5,,,,actual_training_history
1968-05-02,train,40.5,,,,actual_training_history
1968-05-03,train,40.5,,,,actual_training_history
1968-05-06,train,41.2,,,,actual_training_history
1968-05-07,train,41.0,,,,actual_training_history
1968-05-08,train,38.95,,,,actual_training_history
1968-05-09,train,40.1,,,,actual_training_history
1968-05-10,train,40.1,,,,actual_training_history
1968-05-13,train,40.35,,,,actual_training_history
1968-05-14,train,40.35,,,,actual_training_history
1968-05-15,train,40.35,,,,actual_training_history
1968-05-16,train,40.35,,,,actual_training_history
1968-05-17,train,40.35,,,,actual_training_history
1968-05-20,train,40.35,,,,actual_training_history
1968-05-21,train,40.35,,,,actual_training_history
1968-05-22,train,40.35,,,,actual_training_history
1968-05-23,train,40.35,,,,actual_training_history
1968-05-24,train,40.35,,,,actual_training_history
1968-05-27,train,40.35,,,,actual_training_history
1968-05-28,train,40.35,,,,actual_training_history
1968-05-29,train,40.35,,,,actual_training_history
1968-05-30,train,40.35,,,,actual_training_history
1968-05-31,train,40.35,,,,actual_training_history
1968-06-03,train,40.35,,,,actual_training_history
1968-06-04,train,40.35,,,,actual_training_history
1968-06-05,train,39.75,,,,actual_training_history
1968-06-06,train,41.2,,,,actual_training_history
1968-06-07,train,41.2,,,,actual_training_history
1968-06-10,train,39.9,,,,actual_training_history
1968-06-11,train,39.52,,,,actual_training_history
1968-06-12,train,40.5,,,,actual_training_history
1968-06-13,train,40.5,,,,actual_training_history
1968-06-14,train,40.5,,,,actual_training_history
1968-06-17,train,40.5,,,,actual_training_history
1968-06-18,train,40.5,,,,actual_training_history
1968-06-19,train,40.5,,,,actual_training_history
1968-06-20,train,40.5,,,,actual_training_history
1968-06-21,train,40.5,,,,actual_training_history
1968-06-24,train,40.5,,,,actual_training_history
1968-06-25,train,40.5,,,,actual_training_history
1968-06-26,train,40.5,,,,actual_training_history
1968-06-27,train,40.5,,,,actual_training_history
1968-06-28,train,40.5,,,,actual_training_history
1968-07-01,train,40.5,,,,actual_training_history
1968-07-02,train,40.5,,,,actual_training_history
1968-07-03,train,40.5,,,,actual_training_history
1968-07-04,train,40.5,,,,actual_training_history
1968-07-05,train,39.3,,,,actual_training_history
1968-07-08,train,38.7,,,,actual_training_history
1968-07-09,train,38.7,,,,actual_training_history
1968-07-10,train,39.77,,,,actual_training_history
1968-07-11,train,39.3,,,,actual_training_history
1968-07-12,train,39.3,,,,actual_training_history
1968-07-15,train,39.3,,,,actual_training_history
1968-07-16,train,39.3,,,,actual_training_history
1968-07-17,train,39.3,,,,actual_training_history
1968-07-18,train,39.3,,,,actual_training_history
1968-07-19,train,39.3,,,,actual_training_history
1968-07-22,train,39.3,,,,actual_training_history
1968-07-23,train,39.3,,,,actual_training_history
1968-07-24,train,39.3,,,,actual_training_history
1968-07-25,train,39.3,,,,actual_training_history
1968-07-26,train,39.3,,,,actual_training_history
1968-07-29,train,39.3,,,,actual_training_history
1968-07-30,train,39.3,,,,actual_training_history
1968-07-31,train,39.3,,,,actual_training_history
1968-08-01,train,39.3,,,,actual_training_history
1968-08-02,train,39.3,,,,actual_training_history
1968-08-05,train,39.75,,,,actual_training_history
1968-08-06,train,39.75,,,,actual_training_history
1968-08-07,train,40.85,,,,actual_training_history
1968-08-08,train,38.45,,,,actual_training_history
1968-08-09,train,38.45,,,,actual_training_history
1968-08-12,train,39.4,,,,actual_training_history
1968-08-13,train,39.4,,,,actual_training_history
1968-08-14,train,39.4,,,,actual_training_history
1968-08-15,train,39.4,,,,actual_training_history
1968-08-16,train,39.4,,,,actual_training_history
1968-08-19,train,39.4,,,,actual_training_history
1968-08-20,train,39.4,,,,actual_training_history
1968-08-21,train,39.4,,,,actual_training_history
1968-08-22,train,39.4,,,,actual_training_history
1968-08-23,train,39.4,,,,actual_training_history
1968-08-26,train,39.4,,,,actual_training_history
