Date, GLD Close, NAV per GLD in Gold, NAV/share at 10.30 a.m. NYT, Indicative Price of GLD at 4.15 p.m. NYT, Mid point of bid/ask spread at 4.15 p.m. NYT#, Premium/Discount of GLD mid point v Indicative Value of GLD at 4.15 p.m. NYT, Daily Share Volume, Total Net Asset Value Ounces in the Trust as at 4.15 p.m. NYT, Total Net Asset Value Tonnes in the Trust as at 4.15 p.m. NYT, Total Net Asset Value in the Trust
18-Nov-04,44.38,100,44.2,44.305,$44.37 ,0.15%,5992000,260000,8.09,114920000
19-Nov-04,44.78,99.9989,44.55951167,44.694,$44.78 ,0.19%,11655000,1859994.06,57.85,828806907.2
22-Nov-04,44.75,99.9956,44.77803823,44.903,$44.95 ,0.11%,11976800,2799952.98,87.09,1253785206
23-Nov-04,45.05,99.9945,44.81255136,44.812,$44.74 ,-0.16%,3139000,2799952.98,87.09,1254751438
24-Nov-04,45.05,99.9934,44.85705902,44.952,$45.00 ,0.10%,6052700,3099933.3,96.42,1390568824
25-Nov-04, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
26-Nov-04,45.4,99.9912,45.09606509,45.191,$45.28 ,0.20%,3058200,3229921.97,100.46,1456602906
29-Nov-04,45.12,99.9879,45.11958173,45.349,$45.39 ,0.09%,3758800,3329909.96,103.57,1502482071
30-Nov-04,45.38,99.9869,45.33407907,45.139,$45.11 ,-0.06%,3859100,3329909.96,103.57,1509624833
1-Dec-04,44.95,99.9858,45.27858434,45.368,$45.39 ,0.05%,3857500,3329909.96,103.57,1507776859
2-Dec-04,45.6,99.9847,45.41307478,44.948,$44.97 ,0.04%,6457800,3329699.18,103.56,1512255390
3-Dec-04,45.17,99.9835,44.85763332,45.627,$45.60 ,-0.07%,4192300,3329699.18,103.56,1493759190
6-Dec-04,45.11,99.9803,45.296114,45.196,$45.18 ,-0.05%,3102400,3329699.18,103.56,1508360596
7-Dec-04,44.01,99.9792,45.17063026,45.075,$45.09 ,0.03%,3797300,2829802.88,88.02,1278328839
8-Dec-04,43.78,99.9777,43.68025546,44.005,$44.03 ,0.05%,6113700,2929780.58,91.13,1279831487
9-Dec-04,43.44,99.9766,43.69977511,43.764,$43.77 ,0.00%,3553400,2929780.58,91.13,1280403411
10-Dec-04,43.91,99.9754,43.38932282,43.444,$43.45 ,0.00%,2464200,2929780.58,91.13,1271307159
13-Dec-04,43.55,99.9721,43.4978869,43.892,$43.90 ,0.02%,1445100,2929780.58,91.13,1274488086
14-Dec-04,43.99,99.9711,43.69739304,43.547,$43.55 ,0.01%,2240600,2929780.58,91.13,1280333616
15-Dec-04,43.68,99.9701,43.88689785,43.996,$43.99 ,-0.03%,2641400,2929780.58,91.13,1285886107
16-Dec-04,44.19,99.969,43.93641261,43.701,$43.71 ,0.02%,3269800,2929780.58,91.13,1287336889
17-Dec-04,44.34,99.9679,43.87593626,44.14,$44.18 ,0.08%,1889300,2849806.22,88.64,1250464182
20-Dec-04,44.22,99.9648,44.22946571,44.209,$44.35 ,0.31%,1942100,2849806.22,88.64,1260539773
21-Dec-04,44.02,99.9637,44.07899285,44.168,$44.22 ,0.11%,1373400,2849806.22,88.64,1256251296
22-Dec-04,44.27,99.9626,44.0835094,43.983,$44.01 ,0.06%,2705700,2949768.83,91.75,1300463529
23-Dec-04,44.27,99.9615,44.09302545,44.177,$44.27 ,0.21%,639800,2949768.83,91.75,1300744251
24-Dec-04, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
27-Dec-04,44.37,99.9572,44.20107917,44.48,$44.47 ,-0.02%,2637900,2949768.83,91.75,1303931835
28-Dec-04,43.66,99.9561,44.20059477,44.41,$44.39 ,-0.06%,773200,2949768.83,91.75,1303917546
29-Dec-04,43.8,99.9551,44.33009877,43.61,$43.67 ,0.13%,5632200,2949768.83,91.75,1307737914
30-Dec-04,43.8,99.9533,43.53968352,43.779,$43.82 ,0.08%,1289600,3049722.19,94.86,1327960348
31-Dec-04, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
3-Jan-05,42.74,99.9491,43.77774259,42.983,$43.01 ,0.06%,4750400,3509488.41,109.16,1536598757
4-Jan-05,42.67,99.9472,42.75242323,42.722,$42.75 ,0.05%,3456800,3508826.93,109.14,1500610088
5-Jan-05,42.16,99.946,42.57701606,42.631,$42.66 ,0.06%,2033600,3508826.93,109.14,1494453264
6-Jan-05,41.84,99.9448,42.41160641,42.131,$42.17 ,0.08%,2556400,3608771.8,112.24,1531058991
7-Jan-05,41.95,99.9436,42.19621711,41.846,$41.84 ,-0.03%,4491300,3958574.65,123.12,1670970199
10-Jan-05,42.21,99.9402,41.97491148,41.949,$41.97 ,0.04%,1025800,3958574.65,123.12,1662206494
11-Jan-05,42.6,99.9392,42.10940141,42.224,$42.22 ,-0.02%,1507100,4488252.67,139.6,1890712132
12-Jan-05,42.6,99.9384,42.63373006,42.588,$42.62 ,0.06%,1729900,4588191.09,142.71,1956888210
13-Jan-05,42.32,99.9371,42.33338436,42.528,$42.57 ,0.10%,718300,4588191.09,142.71,1943102342
14-Jan-05,42.32,99.936,42.22296498,42.282,$42.31 ,0.05%,1262300,4588191.09,142.71,1938034093
17-Jan-05, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
18-Jan-05,42.26,99.9315,42.1461448,42.266,$42.34 ,0.16%,666800,4588191.09,142.71,1934508046
19-Jan-05,42.25,99.9307,42.46555331,42.26,$42.26 ,-0.01%,1578900,4588191.09,142.71,1949168897
20-Jan-05,42.74,99.9294,42.26017096,42.22,$42.25 ,0.07%,1276200,4588191.09,142.71,1939741847
21-Jan-05,42.77,99.9284,42.29969164,42.699,$42.73 ,0.06%,889200,4588191.09,142.71,1941555846
24-Jan-05,42.24,99.9254,42.70312604,42.698,$42.77 ,0.16%,2294900,4788041.91,148.92,2045479733
25-Jan-05,42.69,99.924,42.4177776,42.182,$42.23 ,0.11%,1332500,4887966,152.03,2074229323
26-Jan-05,42.62,99.9231,42.54725722,42.642,$42.69 ,0.10%,541800,4887966,152.03,2080560878
27-Jan-05,42.69,99.9219,42.41684645,42.586,$42.63 ,0.09%,571200,4887966,152.03,2074183791
28-Jan-05,42.22,99.921,42.64628342,42.646,$42.67 ,0.06%,1149100,4887966,152.03,2085403259
31-Jan-05,42.1,99.9172,42.18007987,42.215,$42.24 ,0.05%,1688700,4887966,152.03,2062605906
1-Feb-05,42.16,99.916,42.05468121,42.074,$42.11 ,0.07%,1088900,4886269.77,151.98,2056473996
2-Feb-05,41.68,99.915,42.12416791,42.149,$42.18 ,0.06%,956500,4886269.77,151.98,2059871811
3-Feb-05,41.47,99.9138,41.6141009,41.669,$41.70 ,0.06%,2446400,4886269.77,151.98,2034929534
4-Feb-05,41.27,99.9127,41.55369128,41.433,$41.48 ,0.10%,1817600,4886269.77,151.98,2031975504
7-Feb-05,41.26,99.9093,41.40244122,41.302,$41.30 ,-0.02%,1754000,4886269.77,151.98,2024579376
8-Feb-05,41.31,99.9081,41.07224284,41.227,$41.27 ,0.09%,1296800,4986177.93,155.09,2049504919
9-Feb-05,41.75,99.907,41.07678888,41.311,$41.30 ,-0.03%,3477900,4986177.93,155.09,2049731765
10-Feb-05,42.08,99.9061,41.51100078,41.745,$41.76 ,0.04%,7773800,4986177.93,155.09,2071398939
11-Feb-05,42.55,99.9051,41.8452856,42.03,$42.06 ,0.01%,1896500,4986177.93,155.09,2088079751
14-Feb-05,42.58,99.9021,42.37849424,42.533,$42.55 ,0.03%,2351800,4986177.93,155.09,2114686863
15-Feb-05,42.52,99.901,42.39801428,42.552,$42.57 ,0.03%,1559900,4986177.93,155.09,2115660913
16-Feb-05,42.73,99.8999,42.26765064,42.452,$42.52 ,0.16%,1820300,4986177.93,155.09,2109155767
17-Feb-05,42.73,99.8989,42.58194271,42.721,$42.73 ,0.02%,1820300,4986177.93,155.09,2124838941
18-Feb-05,42.75,99.8979,42.66641003,42.676,$42.75 ,0.16%,863200,4986177.93,155.09,2129053860
21-Feb-05, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
22-Feb-05,43.42,99.8939,43.23909298,43.553,$43.58 ,0.01%,3314100,5136018.84,159.75,2222489378
23-Feb-05,43.33,99.8928,43.21363873,43.408,$43.41 ,-0.01%,1534900,5076083.15,157.88,2195252848
24-Feb-05,43.33,99.8918,43.32807524,43.338,$43.35 ,0.02%,1219300,5076083.15,157.88,2201066222
25-Feb-05,43.5,99.8907,43.37756131,43.452,$43.52 ,0.14%,1100100,5076083.15,157.88,2203580114
28-Feb-05,43.52,99.8875,43.49604137,43.521,$43.54 ,0.03%,755300,5076083.15,157.88,2209598902
